Scientific,English,German,French,Spanish
Carcharhinus altimus,Bignose shark,Grossnasenhai,Requin babosse,Tiburón baboso
Carcharhinus acronotus,Blacknose shark,Schwarznasenhai,Requin nez noir,Tibur��n amarillo
Carcharhinus amblyrhynchos,Gray reef shark,Grauer Riffhai,Requin dagsit,Tibur��n de arrecifes
,Black-vee whaler,Langschn��uziger Schwarzschwanzhai,,
,Longnose blacktail shark,,,
Carcharhinus brevipinna,Spinner shark,Spinnerhai,Requin tisserand,Tibur��n aleta negra
,Longnose grey shark,Langnasenhai,,
,Inkytail shark,,,
,Smoothfang shark,,,
Carcharhinus falciformis,Silky shark,Seidenhai,Requin soyeux,Tibur��n jaqueton
,,Glatthai,,
Carcharhinus galapagensis,Galapagos shark,Galapagoshai,Requin des Galapagos,Tibur��n de Galapagos
Carcharhinus isodon,Finetooth shark,Feinzahnhai,Requin a petites dents,Tibur��n dentiliso
Carcharhinus leucas,Bull shark,Bullenhai,Requin bouldogue,Tibur��n sarda
,Zambezi shark,Stierhai,,
,Lake Nicaragua shark,Gemeiner Grundhai,,
,River Whaler,,,
,Freshwater Whaler,,,
,Swan River whaler,,,
Carcharhinus limbatus,Blacktip shark,Schwarzspitzenhai,Requin borde,Tibur��n macuira
,Blacktip whaler,Grosser Schwarzspitzenhai,,
Carcharhinus longimanus,Oceanic whitetip shark,Weissspitzen-Hochseehai,Requin oceanique,Tibur��n oceanico
,Whitetip whaler,Hochsee-Weissflossenhai,,
,,Longimanus,,
Carcharhinus melanopterus,Blacktip reef shark,Schwarzspitzen-Riffhai,Requin pointes noires,Tibur��n de puntas negras
,Guliman,,,
Carcharhinus obscurus,Dusky shark,D��sterer Hai,Requin sombre,Tibur��n arenero
,Black whaler,Schwarzhai,,
,Bronze whaler,,,
Carcharhinus plumbeus,Sandbar shark,Sandbankhai,Requin gris,Tibur��n trozo
,Thickskin shark,Grossflossenhai,,
,,Atlantischer Braunhai,,
Carcharhinus porosus,Smalltail shark,Atlantischer Zwerghai,Requin tiqueue,Tibur��n poroso
Carcharhinus signatus,Night shark,Nachthai,Requin de nuit,Tibur��n nocturno
Carcharhinus signatus,Night shark,Nachthai,Requin de nuit,Tibur��n nocturno
Carcharias taurus,Grey nurse shark,Sandtigerhai,Requin taureau,Toro bacota
,Sandtiger shark,,,
Carcharodon carcharias,Great white shark,Weisser Hai,Grand requin blanc,Jaqueton blanco
,white shark,Weisshai,,
,white pointer,,,
,white death,,,
Centroscymnus coelolepis,Portuguese dogfish,Portugiesenhai,Pailona commun,Pailona
Centroscymnus owstoni,Roughskin dogfish,Rauhaut-Glattfisch,Pailona Rapeux,Sapata Lija
Cetorhinus maximus,Basking shark,Riesenhai,Pelerin,Pelerino
Galeocerdo cuvier,Tiger shark,Tigerhai,Requin tigre commun,Tibur��n tigre
Ginglymostoma cirratum,Nurse shark,Atlantischer Ammenhai,Requin nourrice,Gata nodriza
Heterodontus francisci,Horn shark,Hornhai,Requin dormeur cornu,Dormilon cornudo
Hexanchus griseus,Bluntnose sixgill shark,Sechskiemerhai,Requin griset,Canabota gris
Isistius brasiliensis,Cookiecutter shark,Zigarrenhai,Squalelet feroce,Tollo cigarro
Isurus oxyrinchus,Shortfin Mako,Kurzflossen-Mako,Taupe bleu,Marrajo dientuso
Isurus paucus,Longfin mako,Langflossen-Mako,Petit taupe,Marrajo carite
Lamna nasus,Porbeagle,Heringshai,Requin-taupe commun,Marrajo sardinero
Megachasma pelagios,Megamouth,Riesenmaulhai,Requin grande gueule,Tibur��n bocudo
Negaprion brevirostris,Lemon shark,Zitronenhai,Requin citron,Tibur��n galano
,Lemon shark,Zitronenhai,Requin citron,Tibur��n galano
Prionace glauca,Blue shark,Blauhai,Peau bleue,Tibur��n azul
Rhincodon typus,Whale shark,Walhai,Requin baleine,Tibur��n ballena
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Atlantischer Scharfnasenhai,Requin aiguille gussi,Cazon picudo atlantico
Scyliorhinus canicula,Small-spotted catshark,Kleingefleckter Katzenhai,Petite roussette,Pintarroja
Sphyrna lewini,Scalloped hammerhead,Bogenstirn-Hammerhai,Requin-marteau halicorne,Cornuda comun
Sphyrna mokarran,Great hammerhead,Grosser Hammerhai,Grand requin-marteau,Cornuda gigante
Sphyrna tiburo,Bonnethead,Schaufelnasen Hammerhai,Requin-marteau tiburo,Cornuda tiburo
Triaenodon obesus,Whitetip reef shark,Weissspitzen-Riffhai,Requin corail,Tibur��n coralero nato
Triakis semifasciata,Leopard shark,Leopardenhai,Virli leopard,Tollo leopardo
Squatina californica,Pacific angel shark,Pazifischer Engelshai,Ange de mer du Pacifique,Pez angel del Pacifico
Squalus acanthias,Spiny dogfish,Dornhai,Aiguillat commun,Mielga
,Piked dogfish,,,
Somniosus pacificus,Pacific Sleeper shark,Pazifischer Schlafhai,Laimargue dormeur,Tollo negro dormilon
Mustelus henlei,Brown Smoothhound,Brauner Glatthai,Emissole brune,Musola parda
Aculeola nigra,Hooktooth dogfish,Hackenzahn-Dornhai,Squale noir,Tollo negro de cachos
,,,,Tollo negro
Carcharhinus perezi,Caribbean reef shark,Karibischer Riffhai,Requin de recif,Tibur��n coralino
Carcharhinus perezi,Caribbean reef shark,Karibischer Riffhai,Requin de recif,Tibur��n coralino
Centrophorus granulosus,Gulper shark,Schlinghai,Squale-chagrin commun,Quelvacho
Centroscyllium fabricii,Black dogfish,Schwarzer Dornhai,Aiguillat noir,Tollo negro merga
Chlamydoselachus anguineus,Frilled shark,Krausenhai,Requin lezard,Tibur��n anguila
,Lizard shark,,,
,Scaffold shark,,,
Echinorhinus brucus,Bramble shark,Nagelhai,Squale boucle,Tibur��n de clavos
,Spiny shark,,,
,Prickle shark,,,
,Alligator shark,,,
Galeorhinus galeus,Tope shark,Hundshai,Requin-ha,Cazon
,Soupfin shark,,,
,School shark,,,
Oxynotus centrina,Angular roughshark,Meersau,Centrine commune,Cerdo marino
Parascyllium multimaculatum,Tasmanian carpetshark,Tasmanischer Teppichhai,Requin carpette tachete,Alfombrera tasmanica
,Tasmanian catshark,,,
'Pristiophorus schroederi,American sawshark,Amerikanischer S��gehai,''Requin scie d''''Amerique'',Tibur��n sierra americano'
,Bahamas sawshark,,,
Cephaloscyllium ventriosum,Swellshark,Schwellhai,Holbiche ventrue,Pejegato hinchado
'Hemiscyllium freycineti,''Freycinet''''s Epaulette shark'',Freycinets Epaulettenhai,Requin-chabot grivele,Bamboa jaspeada'
,Indonesian speckled carpet shark,,,
Stegostoma fasciatum,Zebra shark,Zebrahai,Requin zebra,Tibur��n acebrado
,Monkey-mouthed shark,,,
,Leopard shark,,,
Apristurus atlanticus,Atlantic Ghost catshark,Atlantischer Geister-Katzenhai,Holbiche atlantique,Pejegato atl��ntico
,Atlantic catshark,,,
Asymbolus analis,Australian spotted catshark,Australischer Flecken-Katzenhai,Chien tachete,Pejegato de lunares
,Grey Spotted catshark,,,
,Spotted dogfish,,,
Atelomycterus marmoratus,Coral catshark,Korallen-Katzenhai,Chien corail,Piontarroja coralera
Aulohalaelurus labiosus,Blackspotted catshark,Schwarzgepunkteter Katzenhai,Chien a taches noires,Pejegato estrellado
Aulohalaelurus labiosus,Blackspotted catshark,Schwarzgepunkteter Katzenhai,Chien a taches noires,Pejegato estrellado
Brachaelurus waddi,Blind shark,Blindhai,Requin aveugle des roches,Tibur��n ciego de roca
Cephalurus cephalus,Lollipop catshark,Kaulquappen-Katzenhai,Holbiche tetard,Pejegato renacuajo
Chaenogaleus macrostoma,Hooktooth shark,Hakenzahnhai,Milandre harpon,Comadreja ganchuda
Chiloscyllium punctatum,Brownbanded bambooshark,Braungeb��nderter Bambushai,Requin-chabot bambou,Bamboa estriada
,Brown-spotted catshark,,,
,Grey carpet shark,,,
,Spotted catshark,,,
Cirrhigaleus barbifer,Mandarine dogfish,Mandarinschnauz-Dornhai,Squale moustache,Tollo mandarin
,Mandarine shark,,,
Cirrhoscyllium expolitum,Barblethroat carpetshark,Bartel-Teppichhai,Requin carpette a moustache,Alfonbrera barbuda
Ctenacis fehlmanni,Harlequin catshark,Harlequin-Katzenhai,Requin chat arlequin,Tollo coludo arlequin
Dalatias licha,Kitefin shark,Schokoladenhai,Squale liche,Carocho
',''Bonnaterre''''s deepwater shark'',,,'
,seal shark,,,
Daenia calcea,Birdbeak dogfish,Vogelschnabel-Dornhai,Squale savate,Tollo pajarito
,Shovelnosed shark,,,
',''Thompson''''s shark'',,,'
Eridacnis barbouri,Cuban ribbontail catshark,Kubanischer Katzenhai,Requin chat cubain,Tollo coludo cubano
Etmopterus spinax,Velvet belly,Schwarzer Dornhai,Sagre commun,Negrito
Eucrossorhinus dasypogon,Tasselled wobbegong,Fransen-Teppichhai,Requin tapis barbu,Tapicero barbudo
Eugomphodus tricuspidatus,Indian Sand tiger,Indischer Sandtigerhai,Requin taureau bambak,Toro bambaco
Euprotomicroides zantedeschia,Taillight shark,Schwanzlichthai,Squale �� queue claire,Tollo rabo claro
Eusphyra blochii,Winghead shark,Fl��gelkopf-Hammerhai,Requin-marteau planeur,Cornuda planeadora
blochii,Winghead shark,Fl��gelkopf-Hammerhai,Requin-marteau planeur,Cornuda planeadora
,Slender Hammerhead,,,
Furgaleus macki,Whiskery shark,Schnauzhai,Emissole moustachue,Cazon bigotudo
Galeus melastomus,Blackmouth catshark,Fleckhai,Chien espagnol,Pintarroja bocanegra
,Blackmouth dogfish,,,
Glyphis gangeticus,Ganges shark,Gangeshai,Requin du Ganges,Tibur��n del Ganges
Gogolia filewoodi,Sailback houndshark,Segelflossen-Glatthai,Requin-ha voile,Cazon velero
Gollum attenuatus,Slender smooth-hound,Schlanker Glatthai,Requin chat golloum,Tollo coludo elegante
Halaelurus boesemani,Speckled catshark,Gesprenkelter Katzenhai,Holbiche mouchetee,Pejegato pintado
Haploblepharus fuscus,Brown shyshark,Brauner Katzenhai,Rousette brune,Alitan marron
Hemigaleus microstoma,Sicklefin weasel shark,Sichelflossen-Wieselhai,Milandre faucille,Comadreja segadora
Hemipristis elongatus,Snaggletooth shark,Fossilhai,Milandre chicor,Comadreja sobrediente
Hemitriakis japanica,Japanese topeshark,Japanischer Glatthai,Requin-ha dochizame,Cazon japones
Heptranchias perlo,One-finned shark,Spitzkopf-Siebenkiemerhai,Requin perlon,Canabota bocadulce
,Perlon shark,,,
,Sevengill cow shark,,,
,Sharpnose sevengill shark,,,
,Sharpsnouted sevengill,,,
,Slender sevengill,,,
,Sharpnose sevengill shark,,,
Heteroscyllium colcloughi,Bluegray carpetshark,Blaugrauer Blindhai,Requin aveugle gris-bleu,Tibur��n ciego gris
Heteroscymnoides marleyi,Longnose pygmy shark,Langnasen-Pygm��enhai,Squale mignon,Tollo pigmeo trompudo
Holohalaelurus punctatus,African spotted catshark,Afrikanischer gepunkteter Katzenhai,Holbiche a gorge tachetee,Pejegato moteado
Hypogaleus hyugaensis,Lesser soupfin shark,Kleiner Suppenflossenhai,Requin-ha elegant,Cazon elegante
Hypogaleus hyugaensis,Lesser soupfin shark,Kleiner Suppenflossenhai,Requin-ha elegant,Cazon elegante
,Blacktip tope,,,
Iago omanensis,Bigeye houndshark,Grossaugen-Glatthai,Requin-ha a gros yeux,Cazon ojigrande
Isogomphodon oxyrhynchus,Daggernose shark,Dolchnasenhai,Requin becune,Cazon picudo
Leptocharias smithii,Barbeled houndshark,Bartel-Glatthai,Emissole barbue,Tibur��n barbudo
Loxodon macrorhinus,Sliteye shark,Schlitzaugenhai,Requin sagrin,Tibur��n ojuelo
Mitsukurina owstoni,Goblin shark,Koboldhai,Requin lutin,Tibur��n duende
Nasolamia velox,Whitenose shark,Weissnasenhai,Requin nez blanc,Cazon trompa blanca
Nebrius ferrugineus,Tawny nurse shark,Gew��hnlicher Ammenhai,Requin nourrice fauve,Gata nodriza atezada
,Madame X,,,
,Spitting shark,,,
,Giant sleepy shark,,,
Notorynchus cepedianus,Broadnose sevengill shark,Breitnasen-Siebenkiemerhai,Platnez,Canbota gata
,Ground shark,,,
,Cow shark,,,
,Broad snout,,,
Odontaspis ferox,Smalltooth sand tiger,Kleinzahn-Sandtigerhai,Requin feroce,Solrayo
',''Herbst''''s nurse shark'',,,'
,Ragged-tooth shark,,,
Orectolobus maculatus,Spotted Wobbegong,Gepunkteter Teppichhai,Requin-tapis tachete,Tapicero manchado
Parmaturus campechiensis,Campeche catshark,Campeche Katzenhai,Holbiche campechoise,Pejegato campechano
Pentanchus profundicolus,Onefin catshark,Einflossen-Katzenhai,Holbiche voile,Pejegato velero
Pliotrema warreni,Sixgill sawshark,Sechskiemen-S��gehai,Requin scie flutian,Tibur��n sierra del Cabo
Poroderma africanum,Pyjama shark,Pyjamahai,Rousette rubanee,Alitan listado
Proscyllium habereri,Graceful catshark,Graziler Katzenhai,Requin chat gracile,Tollo coludo gracil
Proscyllium habereri,Graceful catshark,Graziler Katzenhai,Requin chat gracile,Tollo coludo gracil
Pseudocarcharias kamoharai,Crocodile shark,Krokodilhai,Requin crocodile,Tibur��n cocdrilo
Pseudotriakis microdon,False catshark,Falscher Katzenhai,Requin a longue dorsale,Musol��n de aleta larga
,Atlantic false catshark,,,
,Keel-dorsal shark,,,
Schroederichthyes tenuis,Slender catshark,Schlanker Katzenhai,Holbiche mannequin,Pejegato menudo
Scoliodon laticaudus,Spadenose shark,Spatennasenhai,Requin epee,Cazon espadachin
Scylliogaleus quecketti,Flapnose houndshark,Nasenlappen-Glatthai,Virli a clapet,Cazon mosqueador
Scymnodalatias sherwoodi,Sherwood dogfish,Sherwood-Hai,Squale-grogneur chien,Bruja de Canterbury
Scymnodon obscurus,Smallmouth velvet dogfish,Kleinmaulsamthai,Squale-grogneur a queue echancree,Bruja bocachica
Squaliolus laticaudus,Spined pygmy shark,Zwerghai,Squale nain,Tollo pigmeo espinudo
Sutorectus tentaculatus,Cobbler wobbegong,Warzen-Teppichhai,Requin-tapis cordonnier,Tapicero zapatudo
Alopias superciliosus,Bigeye thresher,Grossaugenfuchshai,Renard a gros yeux,Zorro ojon
Alopias vulpinus,Thresher shark,Fuchshai,Renard,Zorro
,Whiptail shark,Drescherhai,,
,Elephant shark,,,
,Sailfish shark,,,
Euprotomicrus bispinatus,Pygmy shark,Pygm��enhai,Squale pygmee,Tollo pigmeo
Lamiopsis temmincki,Broadfin shark,Breitflossenhai,Requin grandes ailes,Tibur��n aleton
Paragaleus pectoralis,Atlantic weasel shark,Atlantischer Wieselhai,Milandre jaune,Tibur��n comadiza
Alopias pelagicus,Pelagic thresher,Pazifischer Fuchshai,Renard pelagique,Zorro pelagico
,Smalltooth thresher,,,
Alopias pelagicus,Pelagic thresher,Pazifischer Fuchshai,Renard pelagique,Zorro pelagico
,Smalltooth thresher,,,
Carcharhinus albimarginatus,Silvertip shark,Silberspitzenhai,Requin pointe blanche,Tibur��n de puntas blancas
,Silvertip whaler,,,
Glyphis glyphis,Speartooth shark,Speerzahnhai,Requin lancette,Tibur��n lanza
Mustelus mento,Speckled smooth-hound,Gesprenkelter Glatthai,Emissole fine,Musola fina
Odontaspis noronhai,Bigeye sandtiger,Grossaugen-Sandtiger,Requin noronhai,Solrayo ojigrande
Sphyrna corona,Crown shark,Korona-Hammerhai,Requin-marteau cornu,Cornuda coronada
,Scalloped bonnethead,,,
,Mallethead shark,,,
Sphyrna couardi,Whitefin hammerhead,Weissflossen-Hammerhai,Requin-marteau aile blanche,Cornuda aliblanca
Sphyrna media,Scoophead,L��ffelkopf-Hammerhai,Requin-marteau ecope,Cornuda cuchara
Sphyrna tudes,Smalleye hammerhead,Kleinaugen-Hammerhai,Requin-marteau a petits yeux,Cornuda ojichica
Sphyrna zygaena,Smooth hammerhead,Glatter Hammerhai,Requin-marteau commun,Cornuda cruz
,Black hammerhead,,,
,Balance fish,,,
Triakis maculata,Spotted houndshark,Gepunkteter Hundshai,Virli tachete,Tollo manchado
Carcharhinus brachyurus,Copper shark,Bronzehai,Requin cuivre,Tibur��n cobrizo
,Narrowtooth shark,,,Bacota
,Cocktail shark,,,Jaqueton del estrecho
,Bronze Whaler,,,
,New Zealand Whaler,,,
Somniosus microcephalus,Greenland shark,Gr��nlandhai,Laimargue du Groenland,Tollo de Groenlandia
Squatina dumeril,Sand devil,Atlantischer Engelshai,Ange de mer de sable,Tibur��n angel
,Atlantic angel shark,,,
Carcharhinus amblyrhynchoides,Graceful shark,Graziler Hai,Requin gracile,Tibur��n gracil
Carcharhinus amboinensis,Pigeye shark,Javahai,Requin balestrine,Tibur��n baleta
,Java shark,,,
rcharhinus amboinensis,Pigeye shark,Javahai,Requin balestrine,Tibur��n baleta
,Java shark,,,
Carcharhinus borneensis,Borneo shark,Borneohai,Requin-tigre houareau,Tibur��n de Borneo
Carcharhinus cautus,Nervous shark,Nerv��ser Hai,Requin nerveux,Tibur��n nervioso
Carcharhinus dussumieri,Whitecheek shark,Weisswangenhai,Requin a joues blanches,Tibur��n cariblanco
,Whitecheeked whaler shark,,,
,Widemouth blackspot shark,,,
Carcharhinus fitzroyensis,Creek whaler,Walbuchthai,Requin baleinier,Tibur��n ballenero
Carcharhinus hemiodon,Pondicherry shark,Pondicherryhai,Requin baliai,Tibur��n de Pondicherry
Carcharhinus macloti,Hardnose shark,Hartnasenhai,Requin a nez rude,Tibur��n trompudo
',''Maclot''''s shark'',,,'
Carcharhinus sealai,Blackspot shark,Schwarzfleckhai,Requin a taches noires,Tibur��n alinegro
Carcharhinus sorrah,Spot-tail shark,Sorrahhai,Requin a queue tachetee,Tibur��n rabo manchado
Carcharhinus tilstoni,Australian blacktip shark,Australischer Schwarzspitzenhai,Requin borde de Australia,Tibur��n macuira de Australia
Carcharhinus wheeleri,Blacktail reef shark,Schwarzschwanzriffhai,Requin a queue noire,Tibur��n rabinegro
,Short-nosed blacktail shark,,,
Chiloscyllium arabicum,Arabian carpetshark,Arabischer Bambushai,Requin-chabot camot,Bamboa arabiga
Chiloscyllium caerulopunctatum,Bluespotted bambooshark,Blaugepunkteter Bambushai,Requin-chabot a taches bleues,Bamboa estrellada
,Bluespotted catshark,,,
Chiloscyllium griseum,Grey bamboo shark,Grauer Bambushai,Requin-chabot gris,Bamboa gris
Chiloscyllium indicum,Catshark,Schlanker Bambushai,Requin-chabot ��l��gant,Bamboa elegante
,Frog shark,,,
,Nurse shark,,,
,Ridge back shark,,,
,Ridgeback catshark,,,
,Ridgebacked bamboo shark,,,
,Slender bamboo shark,,,
,Stone shark,,,
,Time teller shark,,,
Chiloscyllium plagiosum,Whitespotted bambooshark,Weissgepunkteter Bambushai,Requin-chabot a taches blanches,Bamboa punteada
Chiloscyllium plagiosum,Whitespotted bambooshark,Weissgepunkteter Bambushai,Requin-chabot a taches blanches,Bamboa punteada
Apristurus parvipinnis,Smallfin catshark,Kleinflossenkatzenhai,Holbiche petites ailes,Pejegato mocho
Cirrhoscyllium formosanum,Taiwan saddled carpetshark,Taiwanesischer Teppichhai,Requin carpette chin,Alfonbrera de Taiwan
Cirrhoscyllium japonicum,Saddle carpetshark,Sattel-Teppichhai,Requin carpette chat,Alfombrera japonesa
