Scientific,English,German,French,Spanish
Ginglymostoma brevicaudatum,Short-tail nurse shark,Kurzschwanzammenhai,Requin-nourrice a queue courte,Gata nodriza
Hemiscyllium hallstromi,Papuan epaulette shark,Papua-Epaulettenhai,Requin-chabot epaulette,Bamboa hombrera
Hemiscyllium ocellatum,Epaulette shark,Epaulettenhai,Requin-chabot ocelle,Bamboa ocelada
Hemiscyllium strahani,Hooded carpet shark,Hauben-Epaulettenhai,Requin-chabot moine,Bamboa capuchona
Hemiscyllium trispeculare,Speckled carpetshark,Gepunkteter Epaulettenhai,Requin-chabot marqueterie,Bamboa moteada
Heterodontus galatus,Crested bullhead shark,Kamm-Stierkopfhai,Requin dormeur a crete,Dormilon carenado
Heterodontus japonicus,Japanese bullhead shark,Japanischer Stierkopfhai,Requin dormeur nekozame,Dormilon japones
,Horned shark,,,
Heterodontus mexicanus,Mexican hornshark,Mexikanischer Stierkopfhai,Requin dormeur buffle,Dormilon bufalo
Heterodontus portusjacksoni,Port Jackson shark,Port Jackson Stierkopfhai,Requin dormeur taureau,Dormilon toro
,Oystercrusher,,,
,Pigfish,,,
,Bulldog shark,,,
Heterodontus quoyi,Galapagos bullhead shark,Galapagos-Stierkopfhai,Requin dormeur bouledogue,Dormil��n de Galapagos
,Peruvian horn shark,,,Gato
,,,,Suno
,,,,Tibur��n Gato de Gal��pagos
,,,,Tibur��n Tambor�� N
Heterodontus ramalheira,Whitespotted bullhead shark,Weisspunkt-Stierkopfhai,Requin dormeur chabot,Dormil��n boquigrande
,Mozambique bullhead,,,
Heterodontus zebra,Zebra bullhead shark,Zebra-Stierkopfhai,Requin dormeur zebre,Dormilon acebrado
Heterodontus zebra,Zebra bullhead shark,Zebra-Stierkopfhai,Requin dormeur zebre,Dormilon acebrado
Lamna ditropis,Salmon shark,Lachshai,Requin-taupe saumon,Marrajo salmon
,Pacific porbeagle,,,
Orectolobus japonicus,Japanese wobbegong,Japanischer Teppichhai,Requin-tapis moustache,Tapicero japones
Orectolobus ornatus,Ornate wobbegong,Ornamenten-Teppichhai,Requin-tapis paste,Tapicero ornamentado
,Carpet shark,,,
,Banded wobbegong,,,
,Gulf Wobbegong,,,
Orectolobus wardi,Northern wobbegong,N��rdlicher Teppichhai,Requin-tapis savetier,Tapicero zapatilla
Parascyllium collare,Collared carpetshark,Kragenband-Teppichhai,Requin carpette a collarette,Alfombrera collareja
Parascyllium ferrugineum,Rusty carpetshark,Rostfarbener Teppichhai,Requin carpette roux,Alfombrera mohosa
,Rusty catshark,,,
Parascyllium variolatum,Necklace carpetshark,Halsband-Teppichhai,Requin carpette a collier,Alfombrera colarina
,Varied catshark,,,
Squatina aculeata,Sawback angelshark,S��ger��cken-Engelshai,Ange de mer epineux,Angelote espinudo
,Monkfish,,,
Apristurus nasutus,Largenose catshark,Grossnasenkatzenhai,Holbiche cyrano,Pejegato hocic��n
Apristurus microps,Smalleye catshark,Klein��ugiger Katzenhai,Holbiche porc,Pejegato puerco
Apristurus manis,Ghost catshark,Geisterkatzenhai,Holbiche fantome,Pejegato fantasma
Apristurus maderensis,Madeira catshark,Madeira Katzenhai,Roussette de Madere,Pejegato de Madera
Apristurus macrorhynchus,Flathead catshark,Flachk��pfiger Katzenhai,Holbiche torazame,Pejegato chato
Apristurus longicephalus,Longhead catshark,Langk��pfiger Katzenhai,Holbiche �� grande t��te,Pejegato cabez��n
'Apristurus laurussoni,Iceland catshark,Isl��ndischer Katzenhai,''Roussette d''''Islande'',Pejegato islandico'
'risturus laurussoni,Iceland catshark,Isl��ndischer Katzenhai,''Roussette d''''Islande'',Pejegato islandico'
Apristurus kampae,Longnose catshark,Langnasiger Katzenhai,Holbiche tapir,Pejegato trompudo
Apristurus japonicus,Japanese catshark,Japanischer Katzenhai,Holbiche japonnaise,Pejegato japones
Apristurus investigatoris,Broadnose catshark,Breitnasenkatzenhai,Holbiche platnez,Pejegato ato
Apristurus indicus,Smallbelly catshark,Kleinb��uchiger Katzenhai,Holbiche artouca,Pejegato indico
Apristurus herklotsi,Longfin catshark,Langflossiger Katzenhai,Holbiche �� longues nageoires,Pejegato alet��n
Apristurus canutus,Hoary catshark,Grauer Katzenhai,Holbiche grise,Pejegato cano
Apristurus brunneus,Brown catshark,Brauner Katzenhai,Holbiche brune,Pejegato marr��n
Squatina squatina,Angelshark,Engelshai,Ange de mer commun,Angelote
Squatina oculata,Smoothback angelshark,Weichr��ckiger Engelshai,Ange de mer ocelle,Pez angel
Scymnodalatias albicauda,Whitetail dogfish,Weissschwanz-Dornhai,Squale-grogneur a queue blanc,Bruja rabo blanco
Scyliorhinus torazame,Cloudy catshark,Wolken-Katzenhai,Rousette nuageuse,Alitan nubarrado
Scyliorhinus stellatus,Nursehound,Grossgefleckter Katzenhai,Grande roussette,Alitan
,Large-spotted dog fish,,,
Scyliorhinus retifer,Chain catshark,Kettenkatzenhai,Rousette maille,Alitan mallero
,Chain dogfish,,,
Schroederichthyes maculatus,Narrowtail catshark,Schmallschwanz-Katzenhai,Holbiche petite queue,Pejegato rabo fino
Rhizoprionodon porosus,Caribbean sharpnose shark,Karibischer Scharfnasenhai,Requin aiguille antillais,Cazon picudo antillano
Rhizoprionodon porosus,Caribbean sharpnose shark,Karibischer Scharfnasenhai,Requin aiguille antillais,Cazon picudo antillano
Oxynotus paradoxus,Sailfin roughshark,Segelflossen-Meersau,Humantin,Cerdo marino velero
,Sharkp-back shark,,,
Mustelus lunulatus,Sicklefin smooth-hound,Sichelflossenglatthai,Emissole mamon,Musola segadora
Mustelus californicus,Grey smooth-hound,Grauer Glatthai,Emissole grise,Musola gris
Isistius plutodus,Largetooth cookiecutter shark,Grosszahn-Zigarrenhai,Squalelet dentu,Tollo cigarro denton
Holohalaelurus regani,Izak catshark,Izak,Holbiche isard,Pejegato reticulado
,Shy eyes,,,
Echinorhinus cookei,Prickly shark,Stachelhai,Squale boucle du Pacifique,Tibur��n negro espinoso
',''Cooke''''s shark'',,,'
,Spiny shark,,,
,Spinous shark,,,
Apristurus profundorum,Deepwater catshark,Tiefenwasserkatzenhai,Holbiche papoila,Pejegato abisal
Apristurus platyrhynchus,Borneo catshark,Spatelnasenkatzenhai,Holbiche spatule,Pejegato espatulado
,Spatulasnout catshark,Borneo Katzenhai,Holbiche malaise,Pejegato de Borneo
,Flatnose catshark,,,
Centroscymnus crepidater,Longnose velvet dogfish,Samtiger Langnasendornhai,Pailona a long nez,Sapata negra
Cephaloscyllium laticeps,Australian swellshark,Australischer Schwellhai,Holbiche gressouillette,Pejegato australiano
Daenia quadrispinosum,Longsnout dogfish,Langschnauzen-Dornhai,Squale-savate a long nez,Tollo trompalarga
Etmopterus baxteri,New Zealand lanternshark,Neuseel��ndischer Laternenhai,Sagre porte-feu,Tollo lucero
Etmopterus lucifer,Blackbelly laternshark,Schwarzbauch-Laternenhai,Sagre lucifer,Tollo lucero diablo
Galeus boardmani,Australian sawtail catshark,Australischer S��geschwanzfleckhai,Chien ��go��ne,Pintarroja australiana
Hexanchus nakamurai,Bigeye sixgill shark,Grossaugen-Sechskiemerhai,Requin vache,Canabota ojigrande
Hexanchus nakamurai,Bigeye sixgill shark,Grossaugen-Sechskiemerhai,Requin vache,Canabota ojigrande
Mustelus antarcticus,Gummy shark,Australischer Glatthai,Emissole gomm��e,Musola austral
Mustelus canis,Dusky smoothhound,Dunkler Glatthai,Emissole douce,Musola dentuda
'Mustelus mosis,Arabian smooth-hound,Arabischer Glatthai,''Emissole d''''Arabie'',Musola arbiga'
Negaprion acutidens,Sicklefin lemon shark,Sichelflossen-Zitronenhai,Requin limon faucille,Tibur��n segador
Oxynotus bruniensis,Prickly dogfish,Stachlige Meersau,Centrine aiguille,Cerdo marino agujeta
Pristiophorus cirratus,Longnose sawshark,Langnasen-S��gehai,Requin-scie a long nez,Tibur��n sierra trompudo
Pristiophorus japonicus,Japanese sawshark,Japanischer S��gehai,Requin-scie moustache,Tibur��n sierra japon��s
'Scymnodon plunketi,''Plunket''''s shark'',Plunkethai,Pailona australien,Pailona austral'
',''Plunket''''s dogfish'',,,'
',''Waite''''s dogfish'',,,'
Somniosus rostratus,Little sleeper shark,Kleiner Schlafhai,Laimargue de la M��diterran��e,Tollo boreal
Squalus mitsukurii,Shortspine spurdog,Kleinspitzen-Dornhai,Aiguillat ��pinette,Galludo espinilla
,Green-eye spurdog,,,
Squatina australis,Australian angelshark,Australischer Engelshai,Ange de mer australien,Angelote australiano
Squatina japonicus,Japanese angelshark,Japanischer Engelshai,Ange de mer Kasuzame,Angelote japon��s
Squatina tergocellata,Ornate angelshark,Ornaten-Engelshai,Ange de mer bourgeois,Angelote ornamentado
Triakis scyllium,Banded houndshark,Geb��nderter Hundshai,Virli coro,Tollo rayado
Cephaloscyllium isabellum,Draughtboard shark,Damebretthai,Holbiche damier,Pejegato ajedrezado
aloscyllium isabellum,Draughtboard shark,Damebretthai,Holbiche damier,Pejegato ajedrezado
Apristurus albisoma,Whitish catshark,Weisslicher Katzenhai,,
Apristurus aphyodes,White ghost catshark,Weisser Geister Katzenhai,,
Apristurus fedorovi,Stout catshark,Dicker Katzenhai,,
Apristurus gibbosus,Humpback catshark,Buckel Katzenhai,,
Apristurus internatus,New catshark species,Neue Katzenhai Art,,
'Apristurus laurussonii,Icelandic catshark,Island Katernhai,''Roussette D''''Islande'',Pejegato De Madera'
,Madeira catshark,Madeira Katzenhai,Roussette De Mad��re,Pejegato Islandico
Apristurus macrostomus,Broadmouth catshark,Breitmaul Katzenhai,,
Apristurus micropterygeus,Smalldorsal catshark,Kleinr��cken Katzenhai,,
Apristurus pinguis,Fat catshark,Fetter Katzenhai,,
Apristurus riveri,Broadgill catshark,Breitkiemen Katzenhai,Holbiche grandes oreilles,Pejegato agall��n
Apristurus sinensis,South China catshark,Chinesischer Katzenhai,Holbiche chuchu,Pejegato Chino
Apristurus spongiceps,Spongehead catshark,Schwammkopf Katzenhai,Holbiche t��te molle,Pejegato esponjosa
Apristurus stenseni,Panama ghost catshark,Panama Geister Katzenhai,Holbiche n��buleuse,Pejegato panameo
Asymbolus funebris,Blotched catshark,Flecken Katzenhai,,
Aulohalaelurus kanakorum,New Caledonia catshark,Neu Kaledonischer Katzenhai,,
Aulohalaelurus kanakorum,New Caledonia catshark,Neu Kaledonischer Katzenhai,,
Bythaelurus alcocki,Arabian catshark,Arabischer Katzenhai,Holbiche arabique,Pejegato ar��bigo
Bythaelurus clevai,Broadhead catshark,Breitkopf Katzenhai,,
'Bythaelurus dawsoni,''Dawson''''s cat shark'',Neuseeland Katzenhai,,'
,New Zealand catshark,,,
Bythaelurus hispidus,Bristly catshark,Borstiger Katzenhai,Holbiche mignonne,Pejegato erizado
Bythaelurus immaculatus,Spotless catshark,Ungefleckter Katzenhai,Holbiche glabre,Pejegato immaculado
Bythaelurus lutarius,Brown catshark,Brauner Katzenhai,Holbiche des vases,Pejegato fanguero
,Mud catshark,,,
Carcharhinus leiodon,Smoothtooth Blacktip,Glattzahn Schwarzspitzenhai,,
Carcharhinus sealei,Blackspot shark,Schwarzfleckenhai,Requin �� Tache Noir,Tibur��n Alinegro
Cephaloscyllium fasciatum,Reticulate Swell shark,Netz Schwellhai,Holbiche bouffie,Pejegato mallero
,Reticulated swellshark,,,
Galeus gracilis,Slender sawtail shark,Schlanker S��geschwanzhai,,
Galeus mincaronei,Southern sawtail catshark,S��dlicher S��geschwanz Katzenhai,,Tubar��o-cauda-de-serra-do-sul
Halaelurus lineatus,Banded catshark,Geb��nderter Katzenhai,Holbiche des plages,Pejegato playero
,Lined catshark,,,
Halaelurus natalensis,Tiger catshark,Tiger Katzenhai,Holbiche tigr��e,Pejegato atigrado
Haploblepharus edwardsii,Puffadder shyshark,Puffotter Katzenhai,,
Hemitriakis abdita,Darksnout hound shark,Sichelflossen Hundshai,,
,Deepwater sicklefin hound shark,Schwarzschnauzen Hundshai,,
emitriakis abdita,Darksnout hound shark,Sichelflossen Hundshai,,
,Deepwater sicklefin hound shark,Schwarzschnauzen Hundshai,,
Hemitriakis leucoperiptera,Whitefin topeshark,Weissflossen Hundshai,,
Mustelus dorsalis,Sharptooth smoothhound,Scharfzahn Glatthai,Emissole blanche,Musola blanca
Mustelus fasciatus,Striped dogfish,Gestreifter Glatthai,,Gatuso
,Striped smooth-hound,,,Gatuzo
'Parmaturus macmillani,''McMillan''''s catshark'',McMillan Katzenhai,,'
Rhizoprionodon lalandii,Brazilian sharpnose shark,Brasilianischer Scharfnasenhai,,Cazon chino
Schroederichthys bivius,Narrowmouth catshark,Schmalmaul Katzenhai,,
Schroederichthys chilensis,Chilean catshark,Chilenischer Katzenhai,,Pintarroja com��n
Schroederichthys saurisqualus,Lizard catshark,Eidechsen Katzenhai,,
Schroederichthys tenuis,Slender catshark,Schlanker Katzenhai,Holbiche mannequin,Pejegato menudo
Scyliorhinus besnardi,Polkadot catshark,Gepunkteter Katzenhai,,
Scyliorhinus capensis,Dogfish,Gefleckter Faulhai,Roussette �� taches jaunes,Alit��n de manchas amarillas
,Lazy shark,,,
,Spotted lazyshark,,,
,White-spotted dogfish,,,
,Yellowspotted catshark,,,
Scyliorhinus haeckelii,Freckled catshark,Get��pfelter Katzenhai,,
Scyliorhinus hesperius,Whitesaddled catshark,Weissr��cken Katzenhai,Roussette selle blanche,Alit��n ensillado
Triakis acutipinna,Sharpfin houndshark,Scharfflossen Hundshai,,
Triakis megalopterus,Spotted gully shark,Gefleckter Priel Hai,,
Triakis megalopterus,Spotted gully shark,Gefleckter Priel Hai,,
Parascyllium sparsimaculatum,Ginger carpet shark,Rotbrauner Teppihhai,,
Pseudoginglymostoma brevicaudatum,Shorttail nurse shark,Kurzschwanz Ammenhai,Requin-nourrice �� queue courte,Gata nodriza rabicorta
Centrophorus cf. uyato,Little gulper shark,Kleiner Schlinghai,,
,Southern dogfish,,,
'Centrophorus harrissoni,Dumb gulper shark,''Harrison''''s Schlinghai'',,'
,Dumb shark,,,
',''Harrison''''s deepsea dogfish'',,,'
',''Harrison''''s dogfish'',,,'
Centrophorus isodon,Black gulper shark,Feinzahn Schlinghai,,
,Blackfin gulper shark,,,
,Longnose gulper shark,,,
Centrophorus moluccensis,Endeavour dogfish,Moluccen Schlinghai,,
,Smallfin gulper shark,,,
Centrophorus niaukang,Quelvacho chino,Taiwanesischer Schlinghai,Squale-chagrin guelvacho,
,Taiwan gulper shark,,,
'Centrophorus squamosus,Deepwater spiny dogfish,Tiefwasser Dornhai,''Squale-chagrin De L''''atlantique'',Quelvacho negro'
,Leafscale gulper shark,,,
',''Nilson''''s deepsea dogfish'',,,'
Centroscyllium granulatum,Granular dogfish,Gek��rnter Dornhai,,Tollo fume
,,,,Tollo negro raspa
Centroscyllium kamoharai,Bareskin dogfish,Nackter Dornhai,Aiguillat lisse,Tollo negro liso
,Jelly shark,,,
Centroscyllium nigrum,Black shark,Schwarzer Dornhai,,Tollo fume
,Combtooth dogfish,,,Tollo negro peine
,Pacific black dogfish,,,
Miroscyllium sheikoi,Rasptooth dogfish,Feilenzahn Dornhai,,
Mollisquama parini,Pocket shark,Taschen Hai,,
Oxynotus caribbaeus,Caribbean roughshark,Karibische Meersau,Centrine Antillaise,Tibur��n ojinoto
Oxynotus japonicus,Japanese roughshark,Japanische Meersau,,
ynotus japonicus,Japanese roughshark,Japanische Meersau,,
Proscymnodon macracanthus,Largespine Velvet dogfish,Langdorn Hai,Pailona jume,Sapata espinuda
Scymnodalatias oligodon,Sparsetooth dogfish,Wenigzahn Dornhai,,
Somniosus antarcticus,Southern Sleeper shark,Antarktischer Schlafhai,,
',''Whitely''''s Sleeper shark'',S��dlicher Schlafhai,,'
Squalus megalops,Cosmopolitan spurdog,Kurznasen Dornhai,Aiguillat nez court,Galludo Nato
,Piked spurdog,,,
,Shortnose spurdog,,,
Squalus rancureli,Cyrano spurdog,Cyrano Dornhai,Aiguillat cyrano,Galludo cirano
Squatina africana,African Angelshark,Afrikanischer Engelshai,Ange de mere africain,Angelote africano
,,,Violon,
Squatina armata,Chilean angel shark,Dornr��cken Engelshai,,Angelote
,South pacific angel shark,S��dpazifischer Engelsai,,
,Thornback angel shark,,,
Squatina guggenheim,Angular angel shark,Guggenheim Engelshai,,
Squatina occulta,Smoothback Angel shark,Weichr��cken Engelshai,,
Squatina argentina,Argentine Angel shark,Argentinischer Engelshai,,
Trigonognathus kabeyai,Viper dogfish,Viper Dornhai,,
Galeus sp. nov. B,Northern sawtail shark,N��rdlicher S��geschwanzhai,,
Bythaelurus sp. nov. A,Sombre catshark,D��sterer Katzenhai,,
Apristurus sp. nov. A,Freckled catshark,Gesprenkelter Katzenhai,,
Apristurus sp. nov. B,Bigfin catshark,Grossflossen Katzenhai,,
Apristurus sp. nov. B,Bigfin catshark,Grossflossen Katzenhai,,
Apristurus sp. nov. C,Fleshynose catshark,Fleischnasen Katzenhai,,
Apristurus sp. nov. D,Roughskin catshark,Rauhhaut Katzenhai,,
Apristurus sp. nov. E,Bulldog catshark,Bulldoggen Katzenhai,,
Apristurus sp. nov. F,Bighead catshark,Grosskopf Katzenhai,,
Apristurus sp. nov. G,Pinocchio catshark,,,
Cephaloscyllium sp. nov. A,Draughtboard shark,Schwellhai,,
,Swellshark,Spielbrett Hai,,
,Whitefin Swell shark,,,
Cephaloscyllium sp. nov. B,Saddled Swell shark,Sattel Schwellhai,,
Cephaloscyllium sp. nov. C,Northern Draughtboard shark,N��rdlicher Spielbrett Hai,,
Cephaloscyllium sp. nov. D,Narrowbar Swell shark,Schmalstreifen Schwellhai,,
Cephaloscyllium sp. nov. E,Speckled Swell shark,Gesprenkelter Schwellhai,,
Squatina sp. nov. A,Eastern Angel shark,��stlicher Engelshai,,
Squatina sp. nov. B,Western Angel shark,Westlicher Engelshai,,
Glyphis sp. nov. A,Bizant river shark,Neue Speerzahnhai Art,,
Glyphis sp. nov. C,New Guinea River shark,Neu Guinea Flusshai,,
,Northern River shark,N��rdlicher Flusshai,,
Parmaturus sp. nov. A,Short-tail shark,Kurzschwanz Hai,,
turus sp. nov. A,Short-tail shark,Kurzschwanz Hai,,
Scyliorhinus sp. nov.,Nwe catshark species,Neue Katzenhai Art,,
Chlamydoselachus sp. nov. A,Frilled shark,Krausenhai,,
,Southern African Frilled shark,,,
Pristiophorus sp. nov. A,Eastern Sawshark,��stlicher S��gehai,,
Squalus sp. nov. A,Bartail spurdog,Streifschwanz Dornhai,,
Squalus sp. nov. B,Eastern Highfin spurdog,��stlicher Hochflossen Dornhai,,
Squalus sp. nov. C,Western Highfin spurdog,Westlicher Hochflossen Dornhai,,
Squalus sp. nov. D,Fatspine spurdog,Fettdorn Dornhai,,
Squalus sp. nov. E,Western Longnose spurdog,Westlicher Langnasen Dornhai,,
Squalus sp. nov. F,Eastern Longnose spurdog,��stlicher Langnasen Dornhai,,
Cephaloscyllium nascione,Whitefinned swellshark,Weissflossen Schwellhai,Holbiche isabelle,Pejegato bordeado
